video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7106594312292453675,2022-06-07T20:15:29,24,US,36600,124,1452,510400,how many frogs did you find? 🐸 check out tiktok’s #Minecraft community today! @Gorillo,False,,tiktok,TikTok,89300000,6,373300000,1170,2901,True,,,
7495664091080543506,2025-04-21T07:25:00,65,VN,12200,1914,271,364000,Tất cả vì 1 con bò #beatnetwork #beatvn #beatoflife,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7486075232663440656,2025-03-26T12:15:00,72,VN,57600,365,351,1700000,MC Beat Đỏ thử 1 ngày làm tài xế công nghệ Xanh #beatnetwork #beatoflife #beatvn,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7489056627425955080,2025-04-03T13:30:00,54,VN,111100,836,447,2300000,Nghe nói Thảo Duyên nghỉ làm MC Beat Đỏ hả? #beatvn #beatnetwork #beatoflife,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7465010272718097671,2025-01-28T16:52:32,89,VN,20300,168,729,540600,Beat đỏ chúc mừng năm mới Xuân Ất Tỵ 🥰 Chúc mọi người 1 năm mới an khang thịnh vượng. Hãy luôn đồng hành cùng Beatvn nhaaaa #Beatvn #beatnetwork #beatoflife ,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496412666991316231,2025-04-23T08:10:00,11,VN,1333,91,42,38300,Phim chưa bắt đầu mà đã kết thúc rồi #beatnetwork #beatvn #hoabinhdeplam #BEATNetworkChungmotnhipdap,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496412501316308242,2025-04-23T07:49:13,38,VN,2241,34,47,57400,Quá tử tế - Tự hào là 1 Goonners #beatnetwork #beatvn,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496400319534943506,2025-04-23T07:20:00,38,VN,980,12,16,32200,Người độc thân là người đang cầm dth xem video này #beatnetwork #beatvn #hoabinhdeplam #BEATNetworkChungmotnhipdap,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496398363332463890,2025-04-23T06:54:19,48,VN,1918,21,33,46400,Chắc chắn người mẹ phải tự hào vô cùng #beatnetwork #beatvn #hoabinhdeplam #BEATNetworkChungmotnhipdap,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496368898158316808,2025-04-23T04:59:59,25,VN,40700,884,283,674000,1 sự trùng hợp đặc biệt #beatnetwork #beatvn #hoabinhdeplam,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496353193337572626,2025-04-23T03:59:03,74,VN,5882,1541,161,243800,Hệ tư tưởng Minh Minh tỷ tỷ #beatnetwork #beatvn,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496339668787596562,2025-04-23T03:06:35,38,VN,48300,407,325,795100,"Vì nước quên thân, vì dân phục vụ #beatnetwork #beatvn #hoabinhdeplam",False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496331336874020103,2025-04-23T02:34:15,33,VN,50500,4730,477,807800,Kiếp sau có là cỏ cây cũng muốn được mọc ở Việt Nam #beatnetwork #beatvn #beatoflife #hoabinhdeplam,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496180466387668242,2025-04-22T16:48:49,66,VN,3209,94,76,116600,Còn nhỏ mà quá giỏi luôn #beatvn #beatnetwork ,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496171581291515143,2025-04-22T16:14:20,44,VN,62100,5325,754,794000,Bác xe ôm nhanh trí chở hung thủ gi*t người vào đồn công an #beatvn #beatnetwork ,False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496154961798040850,2025-04-22T15:30:00,41,VN,6826,168,106,152500,"Sky chỉ chờ OTP Red Bull và Sơn Tùng chính thức về “chung nhà"" để có màn flex tập thể thôi#beatvn #beatnetwork #beatoflife #RedBull #BanlinhtoicungHucToiDi #RedBullxSonTungMTP",False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
7496154015785356552,2025-04-22T15:06:09,55,VN,3434,77,72,56100,"Video không cần nhạc, vì nghe tiếng bước chân của các đồng chí đã đủ hùng hồn và khí thế rồi #beatvn #beatnetwork ",False,,beatvn_official,BEATVN,8400000,27,600700000,5986,1404,True,,,
